Die,stud,mold,PCB,Total_warpage,Unit_warpage,NLPLWK_up_14400,NLPLWK_up_10800,NLPLWK_up_7200,NLPLWK_up_3600,NLPLWK_down_14400,NLPLWK_down_10800,NLPLWK_down_7200,NLPLWK_down_3600,Acc_Equi_Strain_up,Acc_Equi_Strain_down,Acc_Equi_Strain_max,Nf_pred (cycles),Prediction,DeltaW,Residual
250,80,75,1.0,9.8595,8.0168,2.135,1.6995,1.2592,0.8085,1.4573,1.1681,0.8752,0.5718,0.05962,0.04945,0.05962,940.453329,97.53216,0.65727055,47.718784
250,80,75,0.8,11.366,8.7227,1.6984,1.3743,1.046,0.7073,1.2596,1.0234,0.7833,0.5319,0.0521,0.0458,0.0521,2277.24973,201.24187,0.50427234,30.265295
250,80,65,1.0,9.8769,8.0276,2.1193,1.6876,1.2512,0.8043,1.4821,1.1866,0.8875,0.5776,0.05939,0.05028,0.05939,931.1267813,96.51717,0.65979075,47.987286
250,80,65,0.8,11.392,8.7409,1.6852,1.3643,1.039,0.7032,1.2822,1.0407,0.795,0.5378,0.05196,0.04663,0.05196,2307.643582,199.35054,0.5060173,30.479002
250,80,55,1.0,9.891,8.0362,2.1172,1.6863,1.2507,0.8046,1.4922,1.193,0.8899,0.5761,0.0592,0.0507,0.0592,941.9382511,95.38294,0.6626502,48.291275
250,80,55,0.8,11.417,8.7593,1.6733,1.3552,1.0328,0.6998,1.2814,1.0398,0.7942,0.5373,0.0517,0.0466,0.0517,2008.227058,200.60887,0.50485384,30.336576
250,80,55,0.6,13.861,9.8735,1.2134,1.008,0.7977,0.5764,1.0898,0.9011,0.7069,0.4983,0.0431,0.0435,0.0435,525.4529419,317.81802,0.42664105,20.331034
250,70,75,1.0,9.856,8.0411,2.1131,1.6834,1.2489,0.8042,1.4966,1.1976,0.8949,0.5815,0.05922,0.05057,0.05922,913.8177447,94.10614,0.6659252,48.638584
250,70,75,0.8,11.393,8.7716,1.692,1.3701,1.044,0.7075,1.2999,1.0543,0.8046,0.5436,0.052,0.047,0.052,2207.974693,191.7463,0.51326823,31.362885
250,70,65,1.0,9.8717,8.0501,2.103,1.6758,1.2439,0.8018,1.5094,1.206,0.8987,0.5806,0.05905,0.05113,0.05905,906.1564209,93.54594,0.66738135,48.792736
250,70,65,0.8,11.418,8.7881,1.6807,1.3615,1.0381,0.7043,1.3143,1.0639,0.8092,0.5434,0.0518,0.0476,0.0518,2255.26842,190.40196,0.51459104,31.523418
250,70,55,1.0,9.887,8.0618,2.091,1.6672,1.2383,0.7991,1.5096,1.2058,0.8982,0.58,0.0588,0.0511,0.0588,935.1600008,94.60048,0.6646501,48.50346
250,70,55,0.8,11.443,8.8089,1.6675,1.3514,1.0312,0.7006,1.2985,1.052,0.8031,0.5423,0.0515,0.047,0.0515,1977.188842,194.32497,0.510766,31.058615
250,70,55,0.6,13.982,9.9862,1.2155,1.0107,0.8011,0.5804,1.1075,0.9151,0.7174,0.5056,0.0432,0.0439,0.0439,526.361401,314.93655,0.42806494,20.52142
250,60,75,1.0,9.844,8.0571,2.0917,1.6673,1.2383,0.7991,1.5163,1.2123,0.9047,0.5866,0.05886,0.051,0.05886,901.371469,92.59276,0.6698865,49.0575
250,60,75,0.8,11.409,8.8112,1.6882,1.3675,1.0427,0.7076,1.3215,1.0709,0.8163,0.5507,0.052,0.0475,0.052,2174.887086,184.31752,0.52074146,32.26703
250,60,65,1.0,9.8603,8.0685,2.0804,1.6589,1.2328,0.7965,1.5173,1.2128,0.9047,0.5864,0.05864,0.05103,0.05864,911.923235,93.617615,0.66719437,48.772957
250,60,65,0.8,11.435,8.8302,1.6758,1.358,1.0362,0.704,1.3208,1.0702,0.8157,0.5502,0.05179,0.04758,0.05179,2208.398165,185.8085,0.5192089,32.082165
250,60,55,1.0,9.8764,8.08,2.0682,1.6499,1.227,0.7939,1.5288,1.2204,0.9083,0.5858,0.0584,0.0515,0.0584,905.8050614,93.53975,0.6673975,48.79444
250,60,55,0.8,11.459,8.849,1.6623,1.3479,1.029,0.7005,1.3346,1.079,0.8194,0.5488,0.0515,0.0481,0.0515,1920.95917,185.04669,0.51998985,32.17641
250,60,55,0.6,14.093,10.091,1.2229,1.0171,0.8065,0.5849,1.1272,0.9304,0.7284,0.5123,0.0435,0.0444,0.0444,735.1404328,308.2785,0.4314242,20.969296
200,80,75,1.0,9.8286,8.0534,1.9983,1.5963,1.1897,0.7728,1.4641,1.1703,0.8727,0.7728,0.05676,0.05,0.05676,1000.833622,133.69604,0.5856475,39.84877
200,80,75,0.8,11.424,8.8367,1.6022,1.3014,0.9963,0.681,1.2809,1.037,0.7891,0.53,0.05,0.0468,0.05,2543.4608,223.11746,0.4855908,27.952627
200,80,65,1.0,9.8414,8.0674,1.9781,1.5812,1.1796,0.7676,1.4402,1.1539,0.8638,0.5636,0.05642,0.04911,0.05642,1048.808032,121.43562,0.6066216,42.20342
200,80,65,0.8,11.444,8.8576,1.5868,1.2896,0.9882,0.6764,1.2556,1.0195,0.7794,0.5282,0.0497,0.0458,0.0497,2582.309244,227.42159,0.48220837,27.528921
200,80,55,1.0,9.8539,8.0811,1.9701,1.5754,1.1762,0.7665,1.4587,1.1657,0.869,0.5619,0.0562,0.0498,0.0562,1065.932405,119.68533,0.6098521,42.56226
200,80,55,0.8,11.464,8.8789,1.5727,1.279,0.981,0.6726,1.2531,1.0174,0.7778,0.5271,0.0494,0.0457,0.0494,2227.576353,228.6353,0.48127034,27.411133
200,70,75,1.0,9.8229,8.0757,1.9701,1.5754,1.1761,0.7666,1.4581,1.1674,0.8731,0.5687,0.05621,0.04952,0.05621,2115.195211,118.023315,0.6129799,42.90874
